Date : 2026-03-05 16:11:09
Directory : d:\wamp\www\Supply
Total : 343 files,  48366 codes, 2805 comments, 5506 blanks, all 56677 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |        310 |     29,833 |      2,724 |      4,275 |     36,832 |
| JSON       |          4 |     13,768 |          0 |          4 |     13,772 |
| Markdown   |         16 |      3,910 |         27 |      1,062 |      4,999 |
| JavaScript |          9 |        553 |         37 |        103 |        693 |
| PostCSS    |          2 |        215 |         17 |         55 |        287 |
| HTML       |          1 |         52 |          0 |          6 |         58 |
| XML        |          1 |         35 |          0 |          1 |         36 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |        343 |     48,366 |      2,805 |      5,506 |     56,677 |
| . (Files)                                                                                                 |         29 |     18,002 |         72 |      1,154 |     19,228 |
| app                                                                                                       |         98 |      7,175 |      1,366 |      1,587 |     10,128 |
| app\Console                                                                                               |          2 |         65 |         17 |         21 |        103 |
| app\Console\Commands                                                                                      |          2 |         65 |         17 |         21 |        103 |
| app\Http                                                                                                  |         45 |      5,109 |      1,022 |      1,128 |      7,259 |
| app\Http\Controllers                                                                                      |         40 |      4,951 |        974 |      1,086 |      7,011 |
| app\Http\Controllers (Files)                                                                              |         13 |      2,118 |        411 |        460 |      2,989 |
| app\Http\Controllers\Admin                                                                                |         11 |      1,539 |        316 |        364 |      2,219 |
| app\Http\Controllers\Api                                                                                  |          4 |        758 |        118 |        115 |        991 |
| app\Http\Controllers\Auth                                                                                 |         10 |        376 |         95 |        103 |        574 |
| app\Http\Controllers\Vendeur                                                                              |          2 |        160 |         34 |         44 |        238 |
| app\Http\Middleware                                                                                       |          3 |         85 |         22 |         24 |        131 |
| app\Http\Requests                                                                                         |          2 |         73 |         26 |         18 |        117 |
| app\Http\Requests (Files)                                                                                 |          1 |         22 |          5 |          4 |         31 |
| app\Http\Requests\Auth                                                                                    |          1 |         51 |         21 |         14 |         86 |
| app\Listeners                                                                                             |          1 |         19 |          7 |          6 |         32 |
| app\Mail                                                                                                  |          5 |        184 |         64 |         40 |        288 |
| app\Models                                                                                                |         34 |      1,136 |        113 |        284 |      1,533 |
| app\Providers                                                                                             |          2 |         30 |         18 |         10 |         58 |
| app\Services                                                                                              |          5 |        543 |        119 |         76 |        738 |
| app\View                                                                                                  |          4 |         89 |          6 |         22 |        117 |
| app\View\Components                                                                                       |          4 |         89 |          6 |         22 |        117 |
| bootstrap                                                                                                 |          5 |        399 |          4 |          7 |        410 |
| bootstrap (Files)                                                                                         |          2 |         28 |          4 |          7 |         39 |
| bootstrap\cache                                                                                           |          3 |        371 |          0 |          0 |        371 |
| config                                                                                                    |         10 |        520 |        558 |        197 |      1,275 |
| database                                                                                                  |         64 |      2,451 |        392 |        426 |      3,269 |
| database\factories                                                                                        |          1 |         25 |         14 |          6 |         45 |
| database\migrations                                                                                       |         48 |      1,505 |        275 |        262 |      2,042 |
| database\seeders                                                                                          |         15 |        921 |        103 |        158 |      1,182 |
| lang                                                                                                      |          3 |        139 |         20 |         10 |        169 |
| lang\fr                                                                                                   |          3 |        139 |         20 |         10 |        169 |
| public                                                                                                    |          2 |         62 |          4 |         13 |         79 |
| resources                                                                                                 |        116 |     18,823 |        317 |      1,885 |     21,025 |
| resources\css                                                                                             |          2 |        215 |         17 |         55 |        287 |
| resources\js                                                                                              |          5 |        328 |         20 |         61 |        409 |
| resources\svg                                                                                             |          1 |        172 |          3 |         31 |        206 |
| resources\svg\icons                                                                                       |          1 |        172 |          3 |         31 |        206 |
| resources\views                                                                                           |        108 |     18,108 |        277 |      1,738 |     20,123 |
| resources\views (Files)                                                                                   |          1 |        128 |          0 |         15 |        143 |
| resources\views\admin                                                                                     |         33 |      6,533 |          9 |        478 |      7,020 |
| resources\views\admin (Files)                                                                             |          2 |      1,006 |          5 |         60 |      1,071 |
| resources\views\admin\audit                                                                               |          4 |      1,247 |          2 |         64 |      1,313 |
| resources\views\admin\categories                                                                          |          4 |        420 |          0 |         33 |        453 |
| resources\views\admin\configuration                                                                       |          2 |        206 |          0 |         24 |        230 |
| resources\views\admin\disputes                                                                            |          2 |        308 |          0 |         30 |        338 |
| resources\views\admin\orders                                                                              |          4 |        658 |          0 |         62 |        720 |
| resources\views\admin\products                                                                            |          3 |        443 |          0 |         38 |        481 |
| resources\views\admin\reports                                                                             |          5 |        603 |          0 |         44 |        647 |
| resources\views\admin\users                                                                               |          3 |        953 |          2 |         84 |      1,039 |
| resources\views\admin\vendors                                                                             |          4 |        689 |          0 |         39 |        728 |
| resources\views\auth                                                                                      |          9 |      1,304 |         20 |        126 |      1,450 |
| resources\views\client                                                                                    |          4 |        968 |         15 |         96 |      1,079 |
| resources\views\commandes                                                                                 |          4 |      1,424 |         65 |        148 |      1,637 |
| resources\views\components                                                                                |         13 |      1,062 |         40 |        121 |      1,223 |
| resources\views\emails                                                                                    |          5 |        195 |          0 |         75 |        270 |
| resources\views\favoris                                                                                   |          1 |        188 |          2 |         21 |        211 |
| resources\views\layouts                                                                                   |          6 |        850 |         23 |         99 |        972 |
